ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents   label   detailed-label,Tunnel,Traffic_Labeled,Malware
2019-02-28 20:04:15.091369984,CUY4Mc6sdRJcmpSFb,192.168.1.193,24159,217.146.147.109,8081,tcp,,0 days 00:00:00.038733,0,0,REJ,,,0,Sr,2,80,2,80,-   Benign   -,-,Benign, -
2019-02-28 21:58:42.626761984,CuYcP21KcZbtwJ4Mii,192.168.1.193,30535,197.38.236.174,8081,tcp,,0 days 00:00:01.156618,0,0,REJ,,,0,Sr,14,560,2,80,-   Benign   -,-,Benign, -
2019-03-01 00:13:19.514573056,CxH6am1rQVUxbBhFXd,217.113.41.229,11,192.168.1.193,0,icmp,,0 days 00:00:00.000005,56,0,OTH,,,0,,2,112,0,0,-   Benign   -,-,Benign, -
2019-02-28 23:26:11.220140032,Cnhfnh3Qqt0KdJdysc,192.168.1.193,30535,197.243.52.186,8081,tcp,,0 days 00:00:00.000005,0,0,S0,,,0,S,2,80,0,0,-   Malicious   PartOfAHorizontalPortScan,-, Malicious, PartOfAHorizontalPortScan
2019-03-01 01:10:59.991478016,C0FCbU2bK93B4zVllk,192.168.1.193,30535,197.81.196.144,8081,tcp,,0 days 00:00:00.000009,0,0,S0,,,0,S,4,160,0,0,-   Malicious   PartOfAHorizontalPortScan,-, Malicious, PartOfAHorizontalPortScan
2019-02-28 21:34:37.153283072,Cfaz0L1AijDOk1tcek,192.168.1.193,24159,217.46.153.27,8081,tcp,,0 days 00:00:00.000005,0,0,S0,,,0,S,2,80,0,0,-   Malicious   PartOfAHorizontalPortScan,-, Malicious, PartOfAHorizontalPortScan
2019-03-01 00:18:21.148164864,CkVPak1Yv4LdrpBYWl,192.168.1.193,30535,217.130.45.170,8081,tcp,,0 days 00:00:00.105449,0,0,REJ,,,0,Sr,2,80,2,80,-   Benign   -,-,Benign, -
2019-03-01 02:55:03.901315072,CRxApxgzHnlcCVIs6,192.168.1.193,24159,197.93.127.234,8081,tcp,,0 days 00:00:00.000005,0,0,S0,,,0,S,2,80,0,0,-   Malicious   PartOfAHorizontalPortScan,-, Malicious, PartOfAHorizontalPortScan
2019-03-01 02:06:07.435392000,CemHnr30uYHRs0HFw4,192.168.1.193,24159,197.7.104.162,8081,tcp,,0 days 00:00:01.103132,0,0,REJ,,,0,Sr,4,160,2,80,-   Benign   -,-,Benign, -
2019-03-01 00:19:31.842658048,CxPRhaKpKkEmAcw9e,192.168.1.193,30535,217.91.118.206,8081,tcp,,0 days 00:00:00.000003,0,0,S0,,,0,S,2,80,0,0,-   Malicious   PartOfAHorizontalPortScan,-, Malicious, PartOfAHorizontalPortScan
2019-02-28 22:25:11.524132864,Cz8aTLtufNe3XyjQf,192.168.1.193,24159,197.157.78.96,8081,tcp,,0 days 00:00:00.205891,0,0,REJ,,,0,Sr,2,80,2,80,-   Benign   -,-,Benign, -
2019-03-01 00:43:40.356794112,CrTzUfAlGbcVc8CP9,192.168.1.193,24159,217.19.204.119,8081,tcp,,0 days 00:00:00.000005,0,0,S0,,,0,S,2,80,0,0,-   Malicious   PartOfAHorizontalPortScan,-, Malicious, PartOfAHorizontalPortScan
