ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents   label   detailed-label,Tunnel,Traffic_Labeled,Malware
2018-12-21 19:56:24.394278912,CaC7752Cb25Wm3s9Ug,192.168.1.198,123,77.78.107.252,123,udp,,0 days 00:00:18.992664,96,0,S0,,,0,D,2,152,0,0,-   Benign   -,-,Benign, -
2018-12-21 20:01:06.387588864,C9Ff1F1crMAgu5Icac,192.168.1.198,57666,192.168.1.1,53,udp,dns,0 days 00:00:05.005138,78,0,S0,,,0,D,2,134,0,0,-   Benign   -,-,Benign, -
2018-12-21 21:35:22.433645056,CuEVBP2nd61uY31L1i,192.168.1.198,42107,192.168.1.1,53,udp,dns,0 days 00:00:05.001877,78,0,S0,,,0,D,2,134,0,0,-   Benign   -,-,Benign, -
2018-12-21 13:47:05.385464064,CN2ss83okYNZIB8V8k,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.087455,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-21 15:11:33.388706048,CLwr271xpfJrHcelU,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.021986,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-21 17:52:18.110505216,CYTlUp3m6RyWJtw8od,192.168.1.198,36097,216.83.226.105,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 05:57:25.405154816,CIl28Z1StoYCOLGWs3,192.168.1.198,36097,103.139.245.216,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 00:06:33.309604864,CL6aFhKOrgyc0Lwo9,192.168.1.198,36097,43.2.52.218,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 20:01:58.397758976,CMfkjl1Ix8d5ieecrk,192.168.1.198,48522,192.168.1.1,53,udp,dns,0 days 00:00:05.005129,78,0,S0,,,0,D,2,134,0,0,-   Benign   -,-,Benign, -
2018-12-21 21:29:24.744462848,C7D5mU1sDc04MX15d7,192.168.1.198,36097,27.27.11.34,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 17:20:03.341593856,C4QgJOXS46KuEh0nc,192.168.1.198,36097,76.161.201.62,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 20:55:34.351144192,CTYfz04lAsZxBOA1ad,192.168.1.198,36097,23.14.10.213,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 16:26:42.925051904,CfuIG134KiPChWa2tl,192.168.1.198,36097,179.86.251.69,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 21:08:55.431235072,CLiwsf1q34lKPU2cy8,192.168.1.198,35310,192.168.1.1,53,udp,dns,0 days 00:00:05.005116,78,0,S0,,,0,D,2,134,0,0,-   Benign   -,-,Benign, -
2018-12-22 03:35:46.394679040,CRPItB1qXB9QXzWl9e,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.053718,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-21 20:05:28.385960192,CRKyR4zsm0a9Zjue7,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.001495,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-21 13:34:46.822208768,CROQ1DzurrwbFt65d,192.168.1.198,36097,124.224.214.174,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 02:24:43.402334976,C5Kt8j1xomma43GmUk,192.168.1.198,123,89.221.212.46,123,udp,,,,,S0,,,0,D,1,76,0,0,-   Benign   -,-,Benign, -
2018-12-21 15:25:06.388890880,CZT6ql4Mf2ffKrhH02,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.013742,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-21 19:51:24.388043008,CyIFHu4Du7bCiMdmbj,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.085433,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-22 03:16:12.387634944,CXqNlW2JI2InaRcrZa,192.168.1.198,123,37.157.194.44,123,udp,,,,,S0,,,0,D,1,76,0,0,-   Benign   -,-,Benign, -
